Nome,Artista,Genero,Tonalidade
#SELFIE - Original Mix;The Chainsmokers;pop, Dance/Electronic;C
#thatPOWER;will.i.am;hip hop, pop;F#
Always On Time;Ja Rule;hip hop, pop, R&B;F
Am I Wrong;Nico & Vinz;hip hop, pop;Ab
Amazing;George Michael;set();Bb
America;Razorlight;rock, pop;D
American Boy;Estelle;R&B;C
American Idiot;Green Day;rock;C#
American Pie;Madonna;pop;F
Anaconda;Nicki Minaj;hip hop, pop;A
Angel;Amanda Perez;pop, R&B;C
Animal;Neon Trees;rock, pop;F
Animals;Maroon 5;pop;E
Animals - Radio Edit;Martin Garrix;pop, Dance/Electronic;C#
Another Chance;Roger Sanchez;Dance/Electronic;Eb
Another Day in Paradise - R&B-Version;Brandy;hip hop, pop, R&B;F#
Another Love;Tom Odell;pop;E
Another Way to Die;Jack White;rock, blues;E
Answerphone (feat. Yxng Bane);Banx & Ranx;Dance/Electronic;C#
Antidote;Travis Scott;hip hop, Dance/Electronic;C#
Antisocial (with Travis Scott);Ed Sheeran;pop;F
Anyone of Us (Stupid Mistake);Gareth Gates;pop;C#
Anywhere;Rita Ora;hip hop, pop, Dance/Electronic;B
Apologize;Timbaland;hip hop, pop, R&B;Ab
Are You With Me - Radio Edit;Lost Frequencies;pop, Dance/Electronic;F
As Good As I Once Was;Toby Keith;country;F
As Long As You Love Me;Justin Bieber;pop;C
Ass Back Home (feat. Neon Hitch);Gym Class Heroes;hip hop, pop;Bb
Ass Like That;Eminem;hip hop;D
Attention;Charlie Puth;pop;Eb
Axel F;Crazy Frog;pop;D
Ayo;Chris Brown;hip hop, pop, R&B;F#
Ayo Technology;50 Cent;hip hop, pop;Ab
BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj);YG;hip hop, pop;C#
BURN IT DOWN;Linkin Park;rock, metal;A
BUTTERFLY EFFECT;Travis Scott;hip hop, Dance/Electronic;B
Baby;Ashanti;hip hop, pop, R&B;E
Baby;Justin Bieber;pop;F
Baby Boy (feat. Sean Paul);Beyoncé;pop, R&B;C#
Baby, I'm Back;Baby Bash;hip hop, pop, R&B, latin;A
Back To Black;Amy Winehouse;R&B;G
Back To December;Taylor Swift;pop;D
Bad (feat. Rihanna) - Remix;Wale;hip hop, pop, R&B;F#
Bad (feat. Vassy) - Radio Edit;David Guetta;hip hop, pop, Dance/Electronic;F
Bad At Love;Halsey;pop, Dance/Electronic;C
Bad Blood;Taylor Swift;pop;G
Bad Blood;Taylor Swift;pop;B
Bad Boys (feat. Flo Rida);Alexandra Burke;pop;C#
Bad Day;Daniel Powter;pop;Eb
Bad Romance;Lady Gaga;pop;C
Bad Romance;Lady Gaga;pop;C
Bad Vibe;M.O;pop, Dance/Electronic;Bb
Bad and Boujee (feat. Lil Uzi Vert);Migos;hip hop, pop;B
Bag Lady;Erykah Badu;hip hop, R&B;F
Bailando - Spanish Version;Enrique Iglesias;pop, latin;G
Bananza (Belly Dancer);Akon;pop;Bb
Bang Bang;Jessie J;hip hop, pop;C
Bang My Head (feat. Sia & Fetty Wap);David Guetta;hip hop, pop, Dance/Electronic;C
Bangarang (feat. Sirah);Skrillex;hip hop, pop, Dance/Electronic;G
Bank Account;21 Savage;hip hop;Ab
Barbra Streisand - Radio Edit;Duck Sauce;Dance/Electronic;C#
Bartender (feat. Akon);T-Pain;hip hop, pop, R&B;Ab
Battle Scars (feat. Lupe Fiasco);Guy Sebastian;pop;F
Battlefield;Jordin Sparks;pop, R&B;D
Be Alright;Dean Lewis;pop;B
Be Faithful;Fatman Scoop;hip hop;G
Be With You;Enrique Iglesias;pop, latin;C#
Be Without You - Kendu Mix;Mary J. Blige;pop, R&B;D
Beat Again - Radio Edit;JLS;pop;B
Beautiful;Snoop Dogg;hip hop, pop;B
Beautiful;Akon;pop;C
Beautiful Girls;Sean Kingston;hip hop, pop, R&B;C#
Beautiful Liar;Beyoncé;pop, R&B;Ab
Beautiful Monster;Ne-Yo;pop, R&B;F
Beautiful People;Chris Brown;hip hop, pop, R&B;F
Beauty And A Beat;Justin Bieber;pop;C
Because I Got High;Afroman;hip hop;G
Because Of You;Ne-Yo;pop, R&B;C
Because of You;Kelly Clarkson;pop, R&B;F
Bed;J. Holiday;hip hop, pop, R&B, Dance/Electronic;F
Bed Of Lies;Nicki Minaj;hip hop, pop;B
BedRock;Young Money;hip hop, pop;Ab
Beep;The Pussycat Dolls;pop, R&B;G
Before He Cheats;Carrie Underwood;pop, country;F#
Beggin (original version);Madcon;hip hop, pop;E
Behind Blue Eyes;Limp Bizkit;metal;G
Behind These Hazel Eyes;Kelly Clarkson;pop, R&B;A
Believer;Imagine Dragons;rock;Bb
Bent;Matchbox Twenty;pop, rock;F#
Berzerk;Eminem;hip hop;B
Best I Ever Had;Drake;hip hop, pop, R&B;F
Best Song Ever;One Direction;pop;C#
Best Thing I Never Had;Beyoncé;pop, R&B;F#
Best of You;Foo Fighters;rock, metal;C#
Better;Khalid;pop, R&B;C
Better Now;Post Malone;hip hop;Bb
Better Now;Post Malone;hip hop;Bb
Better Off Alone;Alice Deejay;pop;Ab
Better Than Me;Hinder;pop, rock, metal;D
Better in Time;Leona Lewis;pop, R&B;F#
Big Girls Don't Cry (Personal);Fergie;pop, R&B;G
Big Green Tractor;Jason Aldean;country;E
Big Pimpin';JAY-Z;hip hop;B
Big Yellow Taxi;Counting Crows;rock, pop;Ab
Billionaire (feat. Bruno Mars);Travie McCoy;hip hop, pop;F#
Birthday Sex;Jeremih;hip hop, pop, R&B;G
Bitch Better Have My Money;Rihanna;hip hop, pop, R&B;C#
Black & Gold - Radio Edit;Sam Sparro;pop, Dance/Electronic;E
Black Beatles;Rae Sremmurd;hip hop, pop;C
Black Betty - Edit;Spiderbait;rock;G
Black Horse And The Cherry Tree;KT Tunstall;World/Traditional, pop, Folk/Acoustic;E
Black Magic;Little Mix;pop;E
Black Skinhead;Kanye West;hip hop;C#
Black Widow;Iggy Azalea;hip hop, pop;B
Black and Yellow;Wiz Khalifa;hip hop, pop;D
Blah Blah Blah (feat. 3OH!3);Kesha;pop, Dance/Electronic;Bb
Blame (feat. John Newman);Calvin Harris;hip hop, pop, Dance/Electronic;C
Blame It;Jamie Foxx;hip hop, pop, R&B;G
Blank Space;Taylor Swift;pop;F
Bleed It Out;Linkin Park;rock, metal;C#
Bleeding Love;Leona Lewis;pop, R&B;F
Blind Faith;Chase & Status;Dance/Electronic;A
Blow;Kesha;pop, Dance/Electronic;B
Blown Away;Carrie Underwood;pop, country;A
Blurred Lines;Robin Thicke;pop, R&B;G
Blurry;Puddle Of Mudd;rock, metal;Eb
Boasty (feat. Idris Elba);Wiley;hip hop, Dance/Electronic;D
Bodak Yellow;Cardi B;hip hop, pop;B
Bodak Yellow;Cardi B;hip hop, pop;B
Body (feat. brando);Loud Luxury;pop, Dance/Electronic;C#
Body Party;Ciara;pop, R&B;D
Bonfire Heart;James Blunt;pop;C
Bonkers;Dizzee Rascal;hip hop, pop, Dance/Electronic;B
Boom Boom Pow;Black Eyed Peas;hip hop, pop;A
Boom Clap;Charli XCX;pop, Dance/Electronic;E
Bootylicious;Destiny's Child;pop, R&B;C#
Bored;Billie Eilish;pop, Dance/Electronic;G
Born This Way;Lady Gaga;pop;B
Born To Die;Lana Del Rey;pop;E
Born to Make You Happy;Britney Spears;pop;B
Born to Try;Delta Goodrem;pop;Ab
Bossy;Kelis;pop, R&B, Dance/Electronic;E
Bottoms Up (feat. Nicki Minaj);Trey Songz;hip hop, pop, R&B;C#
Boulevard of Broken Dreams;Green Day;rock;Ab
Bounce (feat. Kelis) - Radio Edit;Calvin Harris;hip hop, pop, Dance/Electronic;D
Bounce Back;Big Sean;hip hop, pop;C#
Bounce With Me (feat. Xscape) - Edited Album Version;Bow Wow;hip hop, pop, R&B;Ab
Boy With Luv (feat. Halsey);BTS;pop;B
Boyfriend;Justin Bieber;pop;Bb
Break Free;Ariana Grande;pop;G
Break Up;Mario;pop, R&B;C
Break Your Heart;Taio Cruz;hip hop, pop;Eb
Break the Ice;Britney Spears;pop;F
Breaking the Habit;Linkin Park;rock, metal;E
Breathe;Jax Jones;hip hop, pop, Dance/Electronic;B
Breathe;Jax Jones;hip hop, pop, Dance/Electronic;B
Breathe;Faith Hill;pop, country;G
Breathless;The Corrs;pop, Folk/Acoustic;B
Breezeblocks;alt-J;rock;F
Brianstorm;Arctic Monkeys;rock;C#
Bring Em Out;T.I.;hip hop, pop;B
Bring Me To Life;Evanescence;metal;E
Broken Strings;James Morrison;pop, R&B;C#
Broken Strings;James Morrison;pop, R&B;C#
Bulletproof;La Roux;pop, Dance/Electronic;Eb
Bump, Bump, Bump (feat. P. Diddy);B2K;hip hop, pop, R&B;C#
Burn;Ellie Goulding;pop, rock, Dance/Electronic;C#
Burn;Ellie Goulding;pop, rock, Dance/Electronic;C#
Burnin' Up;Jonas Brothers;pop;D
Bust It Baby, Pt. 2 (feat. Ne-Yo);Plies;hip hop, pop, R&B;F
Butterfly;Crazy Town;rock, metal;A
Buttons;The Pussycat Dolls;pop, R&B;D
Buy U a Drank (Shawty Snappin') (feat. Yung Joc);T-Pain;hip hop, pop, R&B;C#
Buzzin Remix;Mann;hip hop, pop;Bb
By the Way;Red Hot Chili Peppers;rock;C
Bye Bye Bye;*NSYNC;pop;Ab
C'Mon;Kesha;pop, Dance/Electronic;C#
CAN'T STOP THE FEELING! (from DreamWorks Animation's "TROLLS");Justin Timberlake;pop;C
Cake By The Ocean;DNCE;pop;E
California Gurls;Katy Perry;pop;C
Call Me Maybe;Carly Rae Jepsen;pop, Dance/Electronic;G
Call Me When You're Sober;Evanescence;metal;G
Call Out My Name;The Weeknd;pop, R&B;C#
Call on Me - Radio Mix;Eric Prydz;pop, Dance/Electronic;Bb
Call on Me - Ryan Riback Remix;Starley;pop, Dance/Electronic;C
Callaita;Bad Bunny;latin;D
Calma - Remix;Pedro Capó;pop, latin;B
Can't Be Tamed;Miley Cyrus;pop;B
Can't Believe It (feat. Lil' Wayne);T-Pain;hip hop, pop, R&B;Bb
Can't Feel My Face;The Weeknd;pop, R&B;A
Can't Fight The Moonlight;LeAnn Rimes;pop, country;F#
Can't Get You out of My Head;Kylie Minogue;pop, Dance/Electronic;A
Can't Help but Wait;Trey Songz;hip hop, pop, R&B;Ab
Can't Hold Us (feat. Ray Dalton);Macklemore & Ryan Lewis;hip hop, pop;D
Can't Hold Us Down (feat. Lil' Kim);Christina Aguilera;pop;Ab
Can't Let You Go (feat. Mike Shorey & Lil' Mo);Fabolous;hip hop, pop, R&B;A
Can't Stop;Red Hot Chili Peppers;rock;A
Can't Tell Me Nothing;Kanye West;hip hop;F
Candy;Robbie Williams;pop, rock;Bb
Candy Shop;50 Cent;hip hop, pop;B
Candyman;Christina Aguilera;pop;Ab
Carry Out (Featuring Justin Timberlake);Timbaland;hip hop, pop, R&B;Bb
Case Of The Ex (Whatcha Gonna Do);Mýa;pop, R&B;C#
Cater 2 U;Destiny's Child;pop, R&B;B
Caught Up;Usher;hip hop, pop, R&B;F#
Caught in the Middle;A1;pop;F
Centuries;Fall Out Boy;rock;E
Cha Cha Slide - Hardino Mix;DJ Casper;set();B
Chain Hang Low;Jibbs;hip hop, pop;E
Chained To The Rhythm;Katy Perry;pop;C
Champion (feat. Chris Brown);Chip;hip hop, Dance/Electronic;F#
Chandelier;Sia;pop;C#
Changed the Way You Kiss Me - Radio Edit;Example;pop, Dance/Electronic;E
Chasing Pavements;Adele;pop, R&B;F
Chasing The Sun;The Wanted;pop, Dance/Electronic;G
Cheap Thrills (feat. Sean Paul);Sia;pop;F#
Check On It (feat. Slim Thug);Beyoncé;pop, R&B;G
Chelsea Dagger;The Fratellis;rock;G
Chill Bill (feat. J. Davi$ & Spooks);Rob $tone;hip hop;F#
Chill Bill (feat. J. Davi$ & Spooks);Rob $tone;hip hop;F#
China;Anuel AA;latin;G
Ciao Adios;Anne-Marie;pop, Dance/Electronic;E
Circles;Post Malone;hip hop;C
Circus;Britney Spears;pop;F#
Clarity;Zedd;hip hop, pop, Dance/Electronic;Ab
Classic;MKTO;hip hop, pop;C#
Cleanin' Out My Closet;Eminem;hip hop;A
Clint Eastwood;Gorillaz;hip hop;Bb
Clocks;Coldplay;rock, pop;F
Clocks;Coldplay;rock, pop;F
Close;Nick Jonas;pop;F#
Closer;The Chainsmokers;pop, Dance/Electronic;Ab
Closer;Lemaitre;pop;D
Closer;Ne-Yo;pop, R&B;E
Clout (feat. Cardi B);Offset;hip hop, pop;C#
Club Can't Handle Me (feat. David Guetta);Flo Rida;hip hop, pop;C
Clumsy;Fergie;pop, R&B;D
CoCo;O.T. Genasis;hip hop, pop;Ab
Cold (feat. Future);Maroon 5;pop;A
Cold Water (feat. Justin Bieber & MØ);Major Lazer;hip hop, pop, Dance/Electronic;F#
Cold as Ice;M.O.P.;hip hop;B
Collard Greens;ScHoolboy Q;hip hop, pop;B
Come & Get It;Selena Gomez;pop;G
Come With Me - Radio Edit;Special D.;pop;G
Come on over Baby (All I Want Is You) - Radio Version;Christina Aguilera;pop;Ab
Come to Me (feat. Nicole Scherzinger);Diddy;hip hop, pop;F#
Comfortably Numb;Scissor Sisters;pop, rock, Dance/Electronic;G
Coming Home;Diddy - Dirty Money;hip hop, pop, R&B;G
Commander;Kelly Rowland;hip hop, pop, R&B;B
Complicated;Avril Lavigne;pop;F
Con Calma;Daddy Yankee;latin;Ab
Confident;Demi Lovato;pop;Eb
Congratulations;Post Malone;hip hop;F#
Control Myself;LL Cool J;hip hop, pop, R&B;Bb
Cookie Jar (feat. The-Dream);Gym Class Heroes;hip hop, pop;F
Cool;Gwen Stefani;pop, R&B;D
Cool Girl;Tove Lo;pop, Dance/Electronic;A
Cool Kids;Echosmith;pop;Ab
Cool for the Summer;Demi Lovato;pop;F
Cooler Than Me - Single Mix;Mike Posner;hip hop, pop, Dance/Electronic;G
Corazón (feat. Nego do Borel);Maluma;latin;A
Counting Stars;OneRepublic;pop;C#
Country Grammar (Hot Shit);Nelly;hip hop, pop, R&B;D
Crack A Bottle;Eminem;hip hop;A
Crank That (Soulja Boy);Soulja Boy;hip hop, pop;C
Crank That (Soulja Boy);Soulja Boy;hip hop, pop;C
Crash and Burn;Savage Garden;pop;E
Crazy;K-Ci & JoJo;pop, R&B;C
Crazy;Gnarls Barkley;hip hop, R&B;Ab
Crazy In Love (feat. Jay-Z);Beyoncé;pop, R&B;D
Criminal;Natti Natasha;pop, latin;D
Cross Me (feat. Chance the Rapper & PnB Rock);Ed Sheeran;pop;E
Crossroads - Radio Edit;Blazin' Squad;set();E
Cruel Summer;Taylor Swift;pop;A
Cruise;Florida Georgia Line;country;Bb
Crush;David Archuleta;pop;C
Cry Me a River;Justin Timberlake;pop;Ab
Cry for You;September;pop, Dance/Electronic;A
Cry for You;September;pop, Dance/Electronic;A
Cupid's Chokehold / Breakfast in America - Radio Mix;Gym Class Heroes;hip hop, pop;C#
DARE;Gorillaz;hip hop;B
DJ Got Us Fallin' In Love (feat. Pitbull);Usher;hip hop, pop, R&B;G
DNA.;Kendrick Lamar;hip hop;C
DONTTRUSTME;3OH!3;hip hop, pop, rock;F
DUELE EL CORAZON (feat. Wisin);Enrique Iglesias;pop, latin;Ab
Daddy Issues;The Neighbourhood;rock, pop;Bb
Dakota;Stereophonics;rock, pop;E
Damaged;Danity Kane;pop, R&B;Ab
Damn! (feat. Lil' Jon) - Club Mix;Youngbloodz;hip hop, pop;F#
Dance Again;Jennifer Lopez;hip hop, pop, R&B;B
Dance Monkey;Tones And I;pop;F#
Dance Wiv Me - Radio Edit;Dizzee Rascal;hip hop, pop, Dance/Electronic;B
Dance with Me;Debelah Morgan;pop, R&B;G
Dance, Dance;Fall Out Boy;rock;B
Dancing On My Own;Robyn;pop, Dance/Electronic;F#
Dancing With A Stranger (with Normani);Sam Smith;pop;Ab
Danger! High Voltage - Soulchild Radio Mix;Electric Six;rock;B
Dangerous;Kardinal Offishall;hip hop, pop, R&B;Ab
Dangerous Woman;Ariana Grande;pop;G
Dangerously;Charlie Puth;pop;D
Dani California;Red Hot Chili Peppers;rock;C
Danza Kuduro (feat. Don Omar);Lucenzo;latin;G
Dark Horse;Katy Perry;pop;F#
Day 'N' Nite (Nightmare);Kid Cudi;hip hop;B
Daylight;Maroon 5;pop;G
Days Go By;Dirty Vegas;Dance/Electronic;A
Dead And Gone;T.I.;hip hop, pop;C
Dear Darlin';Olly Murs;pop, Dance/Electronic;B
Dear Maria, Count Me In;All Time Low;rock;D
Deja Vu (feat. Jay-Z);Beyoncé;pop, R&B;G
Demons;Imagine Dragons;rock;Eb
Desert Rose;Sting;rock, pop;C
Despacito (Featuring Daddy Yankee);Luis Fonsi;pop, latin;D
Destination Calabria - Radio Edit;Alex Gaudino;Dance/Electronic;D
Deuces (feat. Tyga & Kevin McCall);Chris Brown;hip hop, pop, R&B;C#
Diamonds;Rihanna;hip hop, pop, R&B;B
Diamonds From Sierra Leone - Remix;Kanye West;hip hop;G
Diary (feat. Tony! Toni! Tone! & Jermaine Paul);Alicia Keys;pop, R&B;Ab
Die Another Day;Madonna;pop;C
Die Young;Kesha;pop, Dance/Electronic;C#
Differences;Ginuwine;hip hop, pop, R&B;Eb
Dilemma;Nelly;hip hop, pop, R&B;D
Dip It Low;Christina Milian;hip hop, pop, R&B;B
Dirrty (feat. Redman);Christina Aguilera;pop;D
Dirt Off Your Shoulder;JAY-Z;hip hop;C#
Dirt Road Anthem;Jason Aldean;country;D
Dirty Little Secret;The All-American Rejects;rock, pop;Bb
Dirty Little Secret;The All-American Rejects;rock, pop;Bb
Disco Inferno;50 Cent;hip hop, pop;Eb
Disturbia;Rihanna;hip hop, pop, R&B;B
Do I Wanna Know?;Arctic Monkeys;rock;F
Do It Again;Pia Mia;pop, R&B;Ab
Do It Like A Dude;Jessie J;hip hop, pop;D
Do It To It;Cherish;hip hop, pop, R&B;D
Do You Know? (The Ping Pong Song);Enrique Iglesias;pop, latin;Ab
Do You Really Like It? - Radio Edit;DJ Pied Piper & The Masters Of Ceremonies;Dance/Electronic;D
Do You Remember;Jay Sean;hip hop, pop, R&B;B
Do You Want To;Franz Ferdinand;rock;C
Doesn't Really Matter;Janet Jackson;pop, R&B;F
Doin' Time;Lana Del Rey;pop;G
Domino;Jessie J;hip hop, pop;G
Don't;Ed Sheeran;pop;C#
Don't;Bryson Tiller;hip hop, pop, R&B;B
Don't;Bryson Tiller;hip hop, pop, R&B;B
Don't Call Me Baby;Madison Avenue;Dance/Electronic;Eb
Don't Call Me Up;Mabel;pop, Dance/Electronic;A
Don't Cha;The Pussycat Dolls;pop, R&B;C#
Don't Forget About Us - Radio Edit;Mariah Carey;pop, R&B;Bb
Don't Give Up;Chicane;Dance/Electronic;Bb
Don't Hold Your Breath;Nicole Scherzinger;pop, Dance/Electronic;F
Don't Let Me Down;The Chainsmokers;pop, Dance/Electronic;B
Don't Let Me Get Me - Radio Edit;P!nk;pop;C
Don't Lie;Black Eyed Peas;hip hop, pop;A
Don't Love You No More (I'm Sorry);Craig David;hip hop, pop, R&B;G
Don't Matter;Akon;pop;D
Don't Mind;Kent Jones;hip hop;Ab
Don't Phunk With My Heart;Black Eyed Peas;hip hop, pop;F
Don't Start Now;Dua Lipa;pop;B
Don't Stop Movin';S Club 7;pop;G
Don't Stop The Music;Rihanna;hip hop, pop, R&B;F#
Don't Stop the Party (feat. TJR);Pitbull;hip hop, pop, latin;E
Don't Tell 'Em;Jeremih;hip hop, pop, R&B;D
Don't Tell Me;Madonna;pop;G
Don't Tell Me;Avril Lavigne;pop;E
Don't Think I'm Not;Kandi;pop, R&B;B
Don't Wake Me Up;Chris Brown;hip hop, pop, R&B;G
Don't Wanna Go Home;Jason Derulo;hip hop, pop;D
Don't Wanna Know (feat. Kendrick Lamar);Maroon 5;pop;G
Don't Wanna Try;Frankie J;hip hop, pop, R&B;F
Don't You Worry Child - Radio Edit;Swedish House Mafia;pop, Dance/Electronic;B
Donald Trump;Mac Miller;hip hop;C#
Done for Me (feat. Kehlani);Charlie Puth;pop;F#
Down;Jay Sean;hip hop, pop, R&B;D
Down;Jay Sean;hip hop, pop, R&B;D
Down 4 U;Charli Baltimore;pop;G
Down On Me;Jeremih;hip hop, pop, R&B;D
Down With The Trumpets;Rizzle Kicks;hip hop;E
Drag Me Down;One Direction;pop;C
Dragostea Din Tei;O-Zone;pop;C
Drinking from the Bottle (feat. Tinie Tempah);Calvin Harris;hip hop, pop, Dance/Electronic;A
Drive By;Train;pop;C#
Drop It Like It's Hot;Snoop Dogg;hip hop, pop;C#
Drop It Like It's Hot;Snoop Dogg;hip hop, pop;C#
Drops of Jupiter (Tell Me);Train;pop;C
Drowning (feat. Kodak Black);A Boogie Wit da Hoodie;hip hop;F
Drunk in Love (feat. Jay-Z);Beyoncé;pop, R&B;F
Dura;Daddy Yankee;latin;C#
Dusk Till Dawn (feat. Sia) - Radio Edit;ZAYN;pop, Dance/Electronic;B
Dynamite;Taio Cruz;hip hop, pop;E
E.T.;Katy Perry;pop;C#
EARFQUAKE;Tyler, The Creator;hip hop;A
Earned It (Fifty Shades Of Grey) - From The "Fifty Shades Of Grey" Soundtrack;The Weeknd;pop, R&B;D
Earthquake (feat. Tinie Tempah);Labrinth;pop;C
Easier;5 Seconds of Summer;pop;F
Eastside (with Halsey & Khalid);benny blanco;hip hop, pop;F#
Easy Love;Sigala;pop, Dance/Electronic;A
Eenie Meenie;Sean Kingston;hip hop, pop, R&B;C#
El Perdón - Forgiveness;Nicky Jam;latin;Ab
Elastic Heart;Sia;pop;A
Electric Love;BØRNS;rock, pop;F#
Empire State Of Mind;JAY-Z;hip hop;B
Empire State of Mind (Part II) Broken Down;Alicia Keys;pop, R&B;F#
Escape;Enrique Iglesias;pop, latin;B
Eternal Flame - Single Version;Atomic Kitten;pop;C
Eternity;Robbie Williams;pop, rock;Bb
Evacuate The Dancefloor;Cascada;hip hop, pop, Dance/Electronic;C
Every Teardrop Is a Waterfall;Coldplay;rock, pop;A
Everybody in Love;JLS;pop;F
Everyday;Logic;hip hop, pop;C#
Everyday I Love You Less And Less;Kaiser Chiefs;rock;C#
Everytime;Britney Spears;pop;Eb
Everytime We Touch - Radio Edit;Cascada;hip hop, pop, Dance/Electronic;Ab
Everytime You Need Me - Radio Version;Fragma;pop, Dance/Electronic;B
Exchange;Bryson Tiller;hip hop, pop, R&B;F#
Excuse Me Miss;JAY-Z;hip hop;F#
Eyes On You - Radio Mix;Jay Sean;hip hop, pop, R&B;G
F**kin' Perfect;P!nk;pop;G
F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar);A$AP Rocky;hip hop;C#
FEFE;6ix9ine;hip hop;C#
FRIENDS;Marshmello;pop, Dance/Electronic;A
Face Down;The Red Jumpsuit Apparatus;pop;G
Faded;Tyga;hip hop, pop;C#
Faded;Alan Walker;Dance/Electronic;F#
Faded;ZHU;Dance/Electronic;A
Faint;Linkin Park;rock, metal;E
Fake It;Seether;rock, metal;Ab
Family Affair;Mary J. Blige;pop, R&B;Ab
Fancy;Iggy Azalea;hip hop, pop;Bb
Far Away;Nickelback;rock, metal;F#
